Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Smiles
CHEMBL3656215,IC50,'=',9.0,nM,8.05,CHEMBL4822,COCCN1C(=O)C2(N=C1N)c1cc(CCC(C)C)ccc1C[C@]21CC[C@@H](OC)CC1
CHEMBL3902793,IC50,'=',2440.0,nM,5.61,CHEMBL4822,CO[C@H]1CC[C@]2(CC1)Cc1ccc(Br)cc1C21CC(C)(C)SC(N)=N1
CHEMBL3656135,IC50,'=',11.1,nM,7.96,CHEMBL4822,COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21N=C(N)N(C)C1=O
CHEMBL3656139,IC50,'=',16.8,nM,7.78,CHEMBL4822,COC1CCC2(CC1)Cc1ccc(-c3cccnc3)cc1C21N=C(N)N(C)O1
CHEMBL3656141,IC50,'=',18.7,nM,7.73,CHEMBL4822,COC1CCC2(CC1)Cc1ccc(-c3cccc(C(F)(F)F)c3)cc1C21N=C(N)N(C)O1
CHEMBL3656157,IC50,'=',130.4,nM,6.88,CHEMBL4822,CN1OC2(N=C1N)c1cc(-c3cccc(OC(F)(F)F)c3)ccc1CC21CCc2ccccc2CC1
CHEMBL3934938,IC50,'=',9.0,nM,8.05,CHEMBL4822,CO[C@H]1CC[C@]2(CC1)Cc1ccc(CCC(C)C)cc1C21N=C(N)N(CC(F)F)C1=O
CHEMBL3980458,IC50,'=',4226.0,nM,5.37,CHEMBL4822,CO[C@H]1CC[C@]2(CC1)Cc1ccc(Br)cc1[C@@]21N=C(N)N(CC(C)(C)O)C1=O
CHEMBL235754,IC50,'=',5300.0,nM,5.28,CHEMBL4822,COc1cccc(-c2cccc(CCc3cc(=O)n(C)c(N)n3)c2)c1
CHEMBL1269609,IC50,'=',17200.0,nM,4.76,CHEMBL4822,CCOc1ccc(NC(=O)CSc2nc3ccc(Nc4nc(N5CCCCC5)nc(N5CCCCC5)n4)cc3s2)cc1
CHEMBL1257530,IC50,'=',2100.0,nM,5.68,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(CC(C)(C)C)c2)CCCCC1
CHEMBL1257650,IC50,'=',223.0,nM,6.65,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(I)cc(C(C)(C)C)c2)CCCCC1
CHEMBL1257892,IC50,'=',318.0,nM,6.5,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(N)cc(C(C)(C)C)c2)CCCCC1
CHEMBL1258687,IC50,'=',139.0,nM,6.86,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)no2)CCCCC1
CHEMBL1791017,IC50,'=',69.0,nM,7.16,CHEMBL4822,CC[C@H](C)[C@H](NC(=O)C1CCCCO1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1cccc(C(=O)O)c1)C(C)C
